index,word,frequency
1319,"cie",12257
1320,"powoli",12254
1321,"jake",12253
1322,"korekta",12247
1323,"pomiędzy",12196
1324,"zginął",12187
1325,"osoby",12177
1326,"wersji",12168
1327,"zjeść",12166
1328,"martwić",12147
1329,"osoba",12143
1330,"chłopiec",12135
1331,"skończyć",12127
1332,"spoko",12118
1333,"próbował",12116
1334,"mogłam",12115
1335,"kraj",12115
1336,"jakbyś",12114
1337,"znak",12093
1338,"doskonale",12057
1339,"jedynym",12055
1340,"związek",12042
1341,"wolę",12042
1342,"znajdzie",12034
1343,"komuś",12031
1344,"zrobili",12027
1345,"król",12021
1346,"próbowałem",12001
1347,"pieprzony",11997
1348,"wypadku",11992
1349,"jedyna",11978
1350,"generale",11977
1351,"wolny",11968
1352,"woda",11956
1353,"powiedzieli",11956
1354,"rodziców",11953
1355,"dzieciaki",11948
1356,"patrzeć",11921
1357,"miłe",11909
1358,"przyjęcie",11899
1359,"agent",11899
1360,"zadanie",11861
1361,"rodzaju",11855
1362,"lewo",11854
1363,"ach",11850
1364,"siedem",11838
1365,"wysokość",11814
1366,"specjalnie",11811
1367,"szpitalu",11786
1368,"dane",11784
1369,"dzieciak",11782
1370,"zdanie",11764
1371,"me",11762
1372,"jeść",11759
1373,"uratować",11757
1374,"mózgu",11748
1375,"niezła",11736
1376,"wiedziała",11719
1377,"piwo",11682
1378,"sierżancie",11677
1379,"przyszedłem",11669
1380,"samochodzie",11660
1381,"staram",11659
1382,"stylu",11652
1383,"całego",11640
1384,"pora",11606
1385,"kawę",11600
1386,"znajdziesz",11564
1387,"sygnał",11563
1388,"gorzej",11552
1389,"grupa",11552
1390,"zniszczyć",11536
1391,"osobiście",11535
1392,"kolego",11535
1393,"żyjesz",11533
1394,"matką",11530
1395,"ślub",11529
1396,"miesiące",11526
1397,"dupę",11503
1398,"strzelać",11501
1399,"oddaj",11488
1400,"chory",11487
1401,"umarł",11476
1402,"jakimś",11467
1403,"wielkim",11458
1404,"zaczynamy",11452
1405,"Rachel",11451
1406,"częścią",11431
1407,"dowód",11421
1408,"program",11404
1409,"owszem",11403
1410,"myślą",11391
1411,"rzuć",11383
1412,"próbuje",11368
1413,"mogło",11367
1414,"spraw",11365
1415,"wychodzi",11365
1416,"chciałbyś",11357
1417,"budynku",11350
1418,"martwi",11334
1419,"niezłe",11333
1420,"kawałek",11329
1421,"uh",11324
1422,"wiadomo",11321
1423,"wokół",11315
1424,"głupie",11313
1425,"pułkowniku",11302
1426,"plany",11274
1427,"firmy",11270
1428,"naprzód",11251
1429,"odejdź",11248
1430,"nauczyć",11217
1431,"znamy",11212
1432,"historię",11202
1433,"telefonu",11201
1434,"więzieniu",11201
1435,"wcześnie",11195
1436,"jakiej",11188
1437,"metrów",11174
1438,"jedzie",11170
1439,"związku",11150
1440,"wyglądam",11145
1441,"danny",11142
1442,"ostatniej",11141
1443,"potrzebował",11138
1444,"jim",11137
1445,"początek",11125
1446,"najlepszym",11122
1447,"zajęty",11116
1448,"książkę",11105
1449,"każda",11097
1450,"pierwszej",11086
1451,"uczucie",11061
1452,"potrzebny",11058
1453,"henry",11049
1454,"odłóż",11042
1455,"bill",11037
1456,"lekarza",11034
1457,"wyjaśnić",11024
1458,"tuż",11012
1459,"oprócz",11003
1460,"wśród",11001
1461,"wielką",10998
1462,"przyszłości",10981
1463,"córkę",10979
1464,"złapać",10974
1465,"samą",10973
1466,"ilu",10972
1467,"wojnę",10925
1468,"miłego",10924
1469,"nieco",10899
1470,"straszne",10895
1471,"żyją",10888
1472,"adres",10880
1473,"druga",10876
1474,"gości",10876
1475,"siedzieć",10873
1476,"zdobyć",10856
1477,"kate",10851
1478,"rząd",10842
1479,"informacji",10842
1480,"kawy",10805
1481,"zdaje",10804
1482,"idźcie",10802
1483,"łóżku",10797
1484,"chłopaka",10793
1485,"wyprawiasz",10777
1486,"przysługę",10774
1487,"abyś",10771
1488,"ruch",10756
1489,"damy",10755
1490,"gratulacje",10744
1491,"zostanę",10737
1492,"gliny",10728
1493,"biurze",10727
1494,"prawdziwa",10726
1495,"zabij",10724
1496,"sądzie",10718
1497,"zamierzasz",10706
1498,"wierzyć",10685
1499,"zapomniałem",10678
1500,"matkę",10675
1501,"zostawił",10660
1502,"życiem",10654
1503,"swego",10643
1504,"dziękujemy",10639
1505,"info",10636
1506,"znalazłeś",10625
1507,"stał",10614
1508,"wyjścia",10614
1509,"ciąży",10603
1510,"osiem",10586
1511,"pracował",10584
1512,"chwilkę",10548
1513,"byśmy",10529
1514,"zimno",10506
1515,"raport",10502
1516,"leży",10498
1517,"godzina",10498
1518,"kończy",10496
1519,"wyjdzie",10483
1520,"wodę",10480
1521,"imieniu",10480
1522,"użyć",10448
1523,"weekend",10446
1524,"nasi",10446
1525,"kontakt",10427
1526,"san",10426
1527,"kości",10425
1528,"pobliżu",10422
1529,"zostaniesz",10422
1530,"nick",10405
1531,"chronić",10387
1532,"ray",10383
1533,"błagam",10374
1534,"świetna",10371
1535,"zostałem",10362
1536,"najwyraźniej",10354
1537,"codziennie",10351
1538,"poczekać",10339
1539,"telewizji",10316
1540,"usiąść",10310
1541,"morderstwo",10305
1542,"zabrał",10299
1543,"chętnie",10296
1544,"pieprzyć",10287
1545,"angeles",10285
1546,"szuka",10284
1547,"zabiłem",10279
1548,"okno",10278
1549,"różne",10273
1550,"problemu",10270
1551,"własną",10262
1552,"podać",10252
1553,"założę",10242
1554,"podróż",10238
1555,"dałem",10232
1556,"boską",10224
1557,"kolej",10217
1558,"laboratorium",10213
1559,"cudownie",10210
1560,"powiedzenia",10201
1561,"mieszkanie",10193
1562,"rozumie",10190
1563,"urodziny",10174
1564,"ochotę",10174
1565,"zapomnieć",10149
1566,"zespół",10130
1567,"billy",10125
1568,"króla",10124
1569,"wrócisz",10120
1570,"wizja",10109
1571,"przynieś",10087
1572,"pierwszą",10084
1573,"spójrzcie",10078
1574,"święta",10076
1575,"badania",10075
1576,"zobaczmy",10048
1577,"świetne",10038
1578,"wóz",10034
1579,"USA",10029
1580,"dolców",10024
1581,"wrażenie",10021
1582,"głowa",10012
1583,"ślady",10009
1584,"siostry",10008
1585,"dawna",10001
1586,"dumny",9997
1587,"widzicie",9986
1588,"Johnny",9983
1589,"komu",9977
1590,"will",9937
1591,"najlepszego",9923
1592,"lecieć",9922
1593,"wysoki",9906
1594,"przestańcie",9899
1595,"Chris",9896
1596,"linii",9896
1597,"niewiele",9888
1598,"bobby",9874
1599,"mogłabym",9871
1600,"latach",9870
1601,"umiesz",9852
1602,"fakt",9852
1603,"wyszedł",9851
1604,"śniadanie",9850
1605,"poruczniku",9833
1606,"jedzenia",9832
1607,"mogłabyś",9830
1608,"odbiór",9830
1609,"liczy",9828
1610,"bliżej",9827
1611,"odebrać",9821
1612,"innymi",9798
1613,"wynoś",9795
1614,"przeciw",9793
1615,"karty",9788
1616,"eddie",9787
1617,"oddać",9786
1618,"mistrzu",9744
1619,"zróbmy",9737
1620,"wydostać",9733
1621,"znalazłam",9731
1622,"spojrzeć",9730
1623,"znaleźli",9723
1624,"szukasz",9716
1625,"dave",9709
1626,"szczęścia",9709
1627,"pański",9704
1628,"czekam",9690
1629,"pistolet",9673
1630,"synem",9659
1631,"wiary",9655
1632,"opuścić",9653
1633,"obraz",9647
1634,"straciłem",9647
1635,"lekarz",9646
1636,"dostanę",9645
1637,"wziął",9643
1638,"zgadzam",9641
1639,"zaufaj",9628
1640,"chodzić",9627
1641,"szczęśliwa",9625
1642,"miałbym",9622
1643,"mówiłaś",9619
1644,"możliwości",9605
1645,"przyjemność",9604
1646,"wow",9600
1647,"rana",9595
1648,"przyznać",9593
1649,"każdą",9592
1650,"dala",9590
1651,"wybaczyć",9588
1652,"siedzi",9586
1653,"ofiary",9572
1654,"słońce",9563
1655,"sytuacja",9560
1656,"twierdzi",9556
1657,"dowody",9554
1658,"wyjście",9549
1659,"przede",9548
1660,"chciałby",9533
1661,"faceci",9520
1662,"otwarte",9519
1663,"yeah",9519
1664,"zapłacić",9509
1665,"młoda",9508
1666,"czarny",9501
1667,"tysiące",9500
1668,"spodoba",9481
1669,"ładna",9474
1670,"zwłaszcza",9470
1671,"de",9457
1672,"obaj",9456
1673,"zgodnie",9452
1674,"brać",9441
1675,"zeszłym",9434
1676,"udział",9430
1677,"mecz",9428
1678,"zostaje",9423
1679,"kuchni",9407
1680,"nowych",9396
1681,"zabawy",9395
1682,"dostanie",9390
1683,"banku",9386
1684,"subedit",9383
1685,"trzyma",9373
1686,"jane",9370
1687,"jasna",9368
1688,"mężczyzn",9349
1689,"zgoda",9349
1690,"drugim",9337
1691,"nikim",9333
1692,"kochać",9330
1693,"juz",9320
1694,"mówimy",9319
1695,"nr",9296
1696,"dwoje",9293
1697,"córki",9288
1698,"pozbyć",9286
1699,"małego",9285
1700,"stare",9285
1701,"krok",9282
1702,"kasę",9274
1703,"pierwszego",9268
1704,"dna",9253
1705,"żegnaj",9252
1706,"umiem",9250
1707,"kod",9250
1708,"dzwonił",9250
1709,"lee",9241
1710,"zabawa",9225
1711,"dziwnie",9224
1712,"przychodzi",9222
1713,"szefem",9213
1714,"uciekać",9213
1715,"listy",9212
1716,"bank",9207
1717,"wyjdź",9206
1718,"biuro",9201
1719,"zacznie",9201
1720,"myślałeś",9195
1721,"wobec",9191
1722,"głodny",9178
1723,"niebezpieczne",9177
1724,"rodziną",9173
1725,"moimi",9168
1726,"okej",9168
1727,"akcji",9166
1728,"panna",9162
1729,"pobrane",9156
1730,"teren",9147
1731,"towar",9146
1732,"rozkazy",9132
1733,"kazał",9119
1734,"łódź",9119
1735,"Sarah",9113
1736,"głupia",9111
1737,"Tommy",9107
1738,"ostatnim",9106
1739,"kolejne",9106
1740,"dziewczynka",9105
1741,"dupy",9101
1742,"prezydenta",9092
1743,"powinni",9089
1744,"mózg",9088
1745,"powietrze",9086
1746,"naprawić",9074
1747,"umrze",9071
1748,"poziom",9071
1749,"lunch",9067
1750,"ładne",9059
1751,"muzyka",9057
1752,"pierdol",9053
1753,"inną",9039
1754,"biały",9037
1755,"kierunku",9033
1756,"akurat",9023
1757,"biorę",9020
1758,"wraca",9016
1759,"żart",9006
1760,"nazwiska",9005
1761,"poradzę",9005
1762,"ataku",8997
1763,"wyglądają",8996
1764,"dotykaj",8986
1765,"zdrowie",8951
1766,"zbrodni",8940
1767,"idą",8940
1768,"Richard",8935
1769,"mil",8934
1770,"słów",8929
1771,"szalony",8929
1772,"rzeczywiście",8923
1773,"prawdy",8921
1774,"niespodzianka",8898
1775,"rozmawiałem",8887
1776,"działać",8874
1777,"km",8870
1778,"widok",8859
1779,"przodu",8857
1780,"szukamy",8843
1781,"mężczyzną",8843
1782,"dobrej",8836
1783,"of",8835
1784,"dziękuje",8830
1785,"usta",8827
1786,"grę",8826
1787,"ostatnią",8825
1788,"wrócimy",8824
1789,"rodzinie",8812
1790,"ochrony",8793
1791,"spadaj",8793
1792,"daję",8783
1793,"wewnątrz",8777
1794,"ej",8775
1795,"Claire",8770
1796,"pięciu",8769
1797,"rozmawialiśmy",8757
1798,"pomożesz",8755
1799,"test",8754
1800,"słońca",8736
1801,"xvid",8729
1802,"uwagi",8727
1803,"Andy",8712
1804,"zmieni",8708
1805,"pomyślałam",8704
1806,"przyszła",8691
1807,"strach",8690
1808,"zrobiliśmy",8684
1809,"rozmowę",8684
1810,"liście",8681
1811,"lekarzem",8678
1812,"forsę",8668
1813,"in",8664
1814,"wracamy",8663
1815,"bronią",8662
1816,"zaczęło",8656
1817,"wsiadaj",8652
1818,"dupek",8643
1819,"sprawia",8636
1820,"it",8635
1821,"interesuje",8629
1822,"stracić",8622
1823,"powiedzmy",8620
1824,"chłopca",8611
1825,"szkodzi",8606
1826,"potrzebne",8592
1827,"zmienia",8590
1828,"pociąg",8590
1829,"państwo",8580
1830,"dniu",8577
1831,"przypadek",8573
1832,"zaczynam",8565
1833,"najlepsza",8563
1834,"skończyłem",8561
1835,"odzyskać",8560
1836,"czuć",8558
1837,"milion",8551
1838,"problemów",8539
1839,"rękach",8532
1840,"poszła",8528
1841,"wspaniała",8520
1842,"umiera",8509
1843,"zamknięte",8495
1844,"myślicie",8495
1845,"ładny",8490
1846,"alarm",8487
1847,"żył",8486
1848,"rodzaj",8472
1849,"znaczyć",8465
1850,"wysłać",8457
1851,"momencie",8452
1852,"pory",8449
1853,"przypadku",8447
1854,"wybrać",8443
1855,"wynocha",8435
1856,"własnej",8422
1857,"iż",8421
1858,"rozmowy",8418
1859,"abym",8416
1860,"operacji",8412
1861,"jedziesz",8404
1862,"gadać",8402
1863,"jakość",8401
1864,"kotku",8394
1865,"dupku",8392
1866,"facetów",8386
1867,"czekajcie",8383
1868,"biegnij",8379
1869,"obu",8375
1870,"decyzję",8372
1871,"waszej",8367
1872,"steve",8360
1873,"drugiego",8359
1874,"szaleństwo",8357
1875,"Jerry",8352
1876,"język",8347
1877,"lubią",8341
1878,"obudź",8335
1879,"gówna",8335
1880,"wygrać",8334
1881,"spróbuję",8330
1882,"przyszedłeś",8326
1883,"wiec",8308
1884,"leo",8300
1885,"względu",8288
1886,"odnaleźć",8287
1887,"układ",8268
1888,"sens",8268
1889,"psy",8268
1890,"oczach",8265
1891,"śmiercią",8265
1892,"uciekł",8258
1893,"zaufać",8251
1894,"czasy",8246
1895,"ruszamy",8241
1896,"zabiorę",8239
1897,"bycie",8233
1898,"interesy",8225
1899,"oczu",8222
1900,"szans",8216
1901,"nazywają",8214
1902,"wyniki",8214
1903,"miliony",8212
1904,"miła",8209
1905,"wątpię",8202
1906,"nieba",8187
1907,"inna",8185
1908,"sukinsyn",8184
1909,"południe",8183
1910,"armii",8183
1911,"bawić",8182
1912,"zazwyczaj",8176
1913,"wydarzyło",8173
1914,"punkt",8169
1915,"dostałeś",8163
1916,"pozwoli",8157
1917,"następnego",8157
1918,"zdecydowanie",8148
1919,"mówili",8147
1920,"prowadzić",8147
1921,"stop",8146
1922,"oglądać",8145
1923,"woli",8133
1924,"kłopotów",8132
1925,"ziemia",8129
1926,"innej",8123
1927,"dziećmi",8123
1928,"sto",8121
1929,"indziej",8121
1930,"bratem",8115
1931,"daleka",8107
1932,"szanse",8104
1933,"dzwoni",8099
1934,"widzieliśmy",8095
1935,"van",8094
1936,"budynek",8090
1937,"synchro",8084
1938,"bierze",8084
1939,"warto",8081
1940,"musze",8075
1941,"umysł",8067
1942,"mego",8056
1943,"detektyw",8053
1944,"każde",8049
1945,"konia",8047
1946,"zmiany",8046
1947,"różnica",8046
1948,"robiłem",8044
1949,"długi",8036
1950,"listę",8033
1951,"hmm",8027
1952,"duża",8025
1953,"pomaga",8018
1954,"własnego",8013
1955,"musiałam",8009
1956,"wujek",8000
1957,"nóż",7986
1958,"żadna",7986
1959,"państwa",7983
1960,"niektóre",7979
1961,"podziękować",7975
1962,"nadchodzi",7972
1963,"żyję",7967
1964,"tamtej",7966
1965,"zostali",7963
1966,"cholernie",7960
1967,"larry",7954
1968,"radio",7949
1969,"bólu",7944
1970,"ha",7944
1971,"walka",7939
1972,"zabierzcie",7934
1973,"zniknął",7918
1974,"wiedzieli",7915
1975,"chciałaś",7914
1976,"doktora",7911
1977,"prawdziwym",7907
1978,"wyglądać",7905
1979,"przekonać",7895
1980,"pytam",7887
1981,"wyluzuj",7885
1982,"dowie",7880
1983,"trwa",7878
1984,"znajduje",7872
1985,"poznałem",7866
1986,"ojcu",7860
1987,"ostatnich",7856
1988,"al",7855
1989,"wolność",7853
1990,"łeb",7852
1991,"strzelaj",7838
1992,"myślał",7836
1993,"zabiją",7832
1994,"wychodzę",7832
1995,"posłuchać",7827
1996,"strzał",7825
1997,"kinomania",7819
1998,"utrzymać",7815
1999,"cholerny",7814
2000,"kasy",7804
2001,"potrzebują",7800
2002,"okolicy",7792
2003,"wolności",7791
2004,"czułem",7791
2005,"Carter",7786
2006,"Jones",7785
2007,"opowiedz",7784
2008,"łodzi",7784
2009,"prosze",7777
2010,"czasów",7775
2011,"minęło",7774
2012,"widziała",7772
2013,"północy",7772
2014,"ruchy",7770
2015,"ku",7765
2016,"pokładzie",7763
2017,"absolutnie",7760
2018,"vegas",7757
2019,"małym",7754
2020,"cisza",7753
2021,"klasy",7743
2022,"czekają",7738
2023,"pytasz",7737
2024,"nos",7737
2025,"przejmuj",7733
2026,"szlag",7725
2027,"mamą",7721
2028,"wierzy",7715
2029,"lepszego",7699
2030,"zabili",7696
2031,"okropne",7695
2032,"śmiało",7679
2033,"sali",7675
2034,"sprawdzę",7675
2035,"następne",7670
2036,"powtarzam",7650
2037,"mieszkania",7646
2038,"bój",7644
2039,"wraz",7634
2040,"pańska",7631
2041,"zmarł",7630
2042,"czterech",7626
2043,"uczucia",7623
2044,"czytać",7623
2045,"podejdź",7620
2046,"uwierz",7619
2047,"doceniam",7615
2048,"warte",7615
2049,"czyżby",7592
2050,"pańskie",7588
2051,"zero",7584
2052,"różnych",7581
2053,"zobaczyłem",7578
2054,"bomba",7574
2055,"nowej",7567
2056,"pamięć",7566
2057,"taty",7566
2058,"zastanawiam",7561
2059,"klucze",7559
2060,"wróć",7558
2061,"rzeczą",7557
2062,"własny",7552
2063,"przyjdę",7548
2064,"przypomina",7546
2065,"danych",7544
2066,"tatuś",7539
2067,"przeszłości",7528
2068,"pochodzi",7519
2069,"zobaczy",7511
2070,"napisane",7501
2071,"mark",7500
2072,"mężem",7491
2073,"drogą",7491
2074,"ubrania",7487
2075,"akta",7486
2076,"widzimy",7480
2077,"jakiejś",7476
2078,"brian",7476
2079,"żadne",7474
2080,"ufać",7468
2081,"najważniejsze",7465
2082,"doczekać",7460
2083,"sklepu",7459
2084,"szczególnie",7458
2085,"północ",7452
2086,"zostawię",7448
2087,"hatak",7445
2088,"bazy",7443
2089,"podróży",7440
2090,"ręki",7436
2091,"prezydencie",7421
2092,"spytać",7420
2093,"Chicago",7416
2094,"piątek",7414
2095,"Charles",7409
2096,"decyzja",7408
2097,"potrzebna",7407
2098,"ocalić",7407
2099,"lewej",7403
2100,"pojechać",7399
2101,"obie",7392
2102,"Rose",7385
2103,"Amy",7384
2104,"dopasowane",7382
2105,"pić",7381
2106,"mojemu",7369
2107,"zmęczony",7367
2108,"wchodzi",7359
2109,"randkę",7358
2110,"grupy",7355
2111,"pieprz",7354
2112,"waszych",7353
2113,"potrwa",7352
2114,"bezpieczny",7350
2115,"gorąco",7335
2116,"stracił",7334
2117,"miecz",7331
2118,"pamięta",7329
2119,"łatwe",7328
2120,"siłę",7326
2121,"zaczniemy",7325
2122,"wyjdziesz",7322
2123,"własnym",7315
2124,"pospiesz",7308
2125,"słyszeć",7304
2126,"śpi",7302
2127,"zbliża",7301
2128,"czekamy",7301
2129,"kieszeni",7293
2130,"świąt",7288
2131,"stóp",7282
2132,"zdarza",7280
2133,"nogę",7277
2134,"generał",7272
2135,"żołnierzy",7270
2136,"przeszkadza",7269
2137,"zajmuje",7254
2138,"sprzęt",7244
2139,"miałby",7243
2140,"wyszła",7243
2141,"silny",7242
2142,"szefa",7241
2143,"słodki",7236
2144,"dostęp",7234
2145,"spotkania",7233
2146,"porozmawiamy",7233
2147,"ufam",7231
2148,"dowodów",7224
2149,"winny",7219
2150,"new",7210
2151,"dzwonię",7209
2152,"firma",7202
2153,"zginąć",7195
2154,"trzymajcie",7195
2155,"złym",7194
2156,"swoimi",7190
2157,"głęboko",7187
2158,"małżeństwo",7185
2159,"pełne",7178
2160,"bierzesz",7174
2161,"nieprawdaż",7163
2162,"ranny",7161
2163,"martwię",7155
2164,"stanu",7153
2165,"komputer",7149
2166,"połóż",7136
2167,"auto",7133
2168,"równie",7133
2169,"założyć",7132
2170,"zapewne",7130
2171,"nadszedł",7128
2172,"kwiaty",7127
2173,"niedaleko",7121
2174,"wroga",7119
2175,"paru",7118
2176,"dziwnego",7111
2177,"ameryki",7103
2178,"cos",7102
2179,"napiprojekt",7101
2180,"liczyć",7097
2181,"wiatr",7096
2182,"staje",7096
2183,"kawał",7095
2184,"straciliśmy",7095
2185,"szkoła",7095
2186,"zęby",7093
2187,"zaszczyt",7093
2188,"zachować",7093
2189,"znaczenie",7090
2190,"energii",7089
2191,"zaczekać",7086
2192,"potrzeby",7076
2193,"misji",7073
2194,"przyjemnością",7069
2195,"waszym",7061
2196,"możliwość",7060
2197,"najszybciej",7059
2198,"joey",7059
2199,"piłkę",7055
2200,"jakich",7050
2201,"armia",7042
2202,"zechcesz",7041
2203,"czerwony",7041
2204,"stacji",7028
2205,"byłaby",7018
2206,"cenę",7017
2207,"dobrych",7016
2208,"strachu",7016
2209,"musiałeś",7012
2210,"cia",7012
2211,"gratuluję",7010
2212,"wyjechać",7010
2213,"gdybyśmy",7006
2214,"pole",7002
2215,"forsy",6999
2216,"hotel",6998
2217,"zapach",6993
2218,"zmieniło",6987
2219,"zabrali",6983
2220,"wojnie",6980
2221,"mieszkam",6970
2222,"starego",6961
2223,"oddział",6954
2224,"ted",6950
2225,"sklep",6949
2226,"bezpiecznie",6947
2227,"house",6943
2228,"odszedł",6938
2229,"królem",6932
2230,"samolotu",6929
2231,"emily",6927
2232,"planu",6925
2233,"wróciłem",6924
2234,"jutra",6920
2235,"brawo",6913
2236,"boi",6912
2237,"minutę",6906
2238,"bezpieczne",6902
2239,"kontroli",6898
2240,"bzdury",6898
2241,"ducha",6897
2242,"pomyśleć",6896
2243,"znacznie",6895
2244,"dała",6888
2245,"miały",6886
2246,"moze",6882
2247,"czysty",6876
2248,"profesorze",6872
2249,"byłbym",6862
2250,"otwieraj",6851
2251,"lot",6848
2252,"wyobrazić",6846
2253,"zadowolony",6844
2254,"domem",6839
2255,"sprzedać",6839
2256,"przyniosę",6839
2257,"zdejmij",6833
2258,"głową",6826
2259,"martin",6822
2260,"celem",6822
2261,"skończył",6818
2262,"mężczyźni",6814
2263,"musiało",6814
2264,"tygodnia",6812
2265,"żartuję",6810
2266,"zasadzie",6807
2267,"przekazać",6799
2268,"mogłaby",6799
2269,"don",6796
2270,"móc",6793
2271,"dałeś",6793
2272,"zostaną",6790
2273,"obejrzeć",6789
2274,"mogłoby",6787
2275,"mamę",6777
2276,"wyszło",6777
2277,"zamian",6775
2278,"umowę",6773
2279,"auta",6770
2280,"pomocą",6767
2281,"umowa",6766
2282,"śmieci",6753
2283,"restauracji",6750
2284,"dan",6743
2285,"zacząłem",6741
2286,"normalnie",6740
2287,"odsuń",6738
2288,"kontrolę",6734
2289,"sądu",6731
2290,"mamie",6728
2291,"wszystkimi",6722
2292,"znajdą",6721
2293,"jestes",6720
2294,"tatusiu",6717
2295,"zrobią",6717
2296,"przyjechał",6716
2297,"kurs",6716
2298,"chuck",6716
2299,"rusz",6710
2300,"eric",6710
2301,"spotkałem",6703
2302,"zostawcie",6699
2303,"kompletnie",6694
2304,"troszkę",6688
2305,"dokumenty",6687
2306,"pamięci",6684
2307,"przeznaczenie",6683
2308,"najlepszych",6680
2309,"zaczęła",6677
2310,"seksu",6677
2311,"duszę",6675
2312,"poprzez",6675
2313,"moge",6674
2314,"przynieść",6671
2315,"samobójstwo",6664
2316,"napisał",6659
2317,"robiłeś",6658
2318,"ross",6649
2319,"pełno",6648
2320,"rzeki",6645
2321,"wyciągnąć",6644
2322,"potrzebować",6642
2323,"córką",6640
2324,"książka",6636
2325,"zwierzęta",6636
2326,"podobało",6635
2327,"ruchu",6632
2328,"wyjdę",6632
2329,"zabijesz",6625
2330,"długa",6623
2331,"setki",6623
2332,"gwiazdy",6618
2333,"załatwię",6611
2334,"bracia",6610
2335,"zabijać",6609
2336,"wino",6607
2337,"trzeci",6606
2338,"waszą",6604
2339,"bond",6604
2340,"stanów",6599
2341,"patrzę",6595
2342,"nawzajem",6595
2343,"aha",6590
2344,"kevin",6583
2345,"gliną",6580
2346,"tamtego",6579
2347,"ryby",6577
2348,"morderstwa",6575
2349,"podnieś",6574
2350,"annie",6573
2351,"gdziekolwiek",6563
2352,"dwaj",6558
2353,"prawej",6551
2354,"kapitana",6541
2355,"las",6540
2356,"połowę",6530
2357,"subgroup",6528
2358,"wyłącz",6528
2359,"niedobrze",6524
2360,"udowodnić",6521
2361,"walter",6521
2362,"zabija",6519
2363,"kurde",6516
2364,"planety",6512
2365,"proces",6509
2366,"zejdź",6509
2367,"okoliczności",6505
2368,"zmienił",6505
2369,"książę",6505
2370,"barze",6504
2371,"siostrę",6502
2372,"kościoła",6502
2373,"spodnie",6500
2374,"mieszkasz",6498
2375,"kwestia",6497
2376,"wyglądał",6496
2377,"anglii",6494
2378,"patrzysz",6488
2379,"bohaterem",6485
2380,"sytuację",6479
2381,"wątpliwości",6477
2382,"patrzy",6476
2383,"sądziłem",6475
2384,"niebo",6472
2385,"niezbyt",6471
2386,"sumie",6470
2387,"ręka",6470
2388,"pete",6466
2389,"zadzwonił",6460
2390,"jenny",6459
2391,"dachu",6455
2392,"powrót",6451
2393,"słyszałaś",6448
2394,"ledwo",6448
2395,"konieczne",6446
2396,"fps",6445
2397,"widzieliście",6445
2398,"czyni",6442
2399,"zmiana",6434
2400,"zadać",6432
2401,"sukinsynu",6431
2402,"doprawdy",6425
2403,"mogliśmy",6424
2404,"uczyć",6423
2405,"pragnę",6422
2406,"pogadamy",6420
2407,"umie",6411
2408,"powinniście",6411
2409,"wróciła",6409
2410,"tysiąc",6408
2411,"byliście",6404
2412,"normalne",6403
2413,"przedstawić",6401
2414,"matt",6397
2415,"zachód",6390
2416,"robert",6385
2417,"prędzej",6377
2418,"zostałeś",6365
2419,"prawdziwą",6362
2420,"amen",6359
2421,"sztuki",6355
2422,"sprawą",6346
2423,"ryzyko",6346
2424,"używać",6343
2425,"duch",6330
2426,"stole",6329
2427,"plaży",6328
2428,"nosi",6325
2429,"żebyście",6324
2430,"cofnąć",6322
2431,"parku",6316
2432,"napić",6315
2433,"wolne",6309
2434,"rzucić",6307
2435,"zabieraj",6306
2436,"badań",6306
2437,"przyszłym",6306
2438,"próbujesz",6303
2439,"porucznik",6301
2440,"poważne",6301
2441,"dotąd",6296
2442,"środek",6292
2443,"bezpieczna",6286
2444,"zamiaru",6281
2445,"trzymam",6278
2446,"umarła",6275
2447,"dziewczynki",6272
2448,"ukryć",6272
2449,"wchodzę",6272
2450,"sklepie",6268
2451,"dotrzeć",6267
2452,"chwilą",6264
2453,"odpowiada",6262
2454,"obrony",6261
2455,"trzymasz",6260
2456,"pisać",6257
2457,"pozwolenie",6257
2458,"gadasz",6257
2459,"waszego",6254
2460,"winy",6248
2461,"mistrz",6246
2462,"mogłaś",6244
2463,"życzę",6242
2464,"czasach",6241
2465,"funtów",6241
2466,"systemu",6236
2467,"imprezę",6235
2468,"jazdy",6232
2469,"pozwala",6231
2470,"jean",6231
2471,"pomógł",6229
2472,"dużą",6222
2473,"jacka",6220
2474,"rozmowa",6220
2475,"jedi",6220
2476,"napisać",6218
2477,"darmo",6217
2478,"suko",6212
2479,"przygotuj",6208
2480,"fajne",6208
2481,"słyszał",6204
2482,"dziwny",6203
2483,"pewnym",6201
2484,"grace",6200
2485,"którymi",6199
2486,"znacie",6194
2487,"william",6194
2488,"władzy",6192
2489,"narkotyki",6189
2490,"alan",6183
2491,"zrozumiano",6182
2492,"służyć",6173
2493,"dzwoń",6172
2494,"drzwiami",6164
2495,"samych",6164
2496,"bilety",6157
2497,"interesujące",6155
2498,"czekał",6153
2499,"znałem",6153
2500,"jezus",6151
2501,"sercu",6150
2502,"pewność",6149
2503,"przeprosić",6145
2504,"przeszłość",6144
2505,"jednostki",6144
2506,"czynienia",6142
2507,"uważać",6142
2508,"dziadek",6142
2509,"pisze",6141
2510,"ciężkie",6137
2511,"znaleziono",6137
2512,"wybierasz",6135
2513,"chora",6130
2514,"słuchasz",6129
2515,"przyjąć",6126
2516,"powietrza",6106
2517,"jaj",6104
